linux, The Linux kernel and modules
linux-firmware, Firmware files for Linux
lsof, Lists open files for running Unix processes
lxappearance, Feature-rich GTK+ theme switcher of the LXDE Desktop
lynx-current, A text browser for the World Wide Web (current development version)
maim, Utility to take a screenshot using imlib2
mc, A file manager that emulates Norton Commander
mediainfo, Supplies technical and tag information about media files (CLI interface)
mpc, Minimalist command line interface to MPD
mpd, Flexible  powerful  server-side application for playing music
mpd-mpris-bin, An implementation of the MPRIS protocol for MPD.
mpv, a free  open source  and cross-platform media player
mpv-mpris, MPRIS plugin for mpv
mtpfs, A FUSE filesystem that supports reading and writing from any MTP device
ncdu, Disk usage analyzer with an ncurses interface
ncmpcpp, Featureful ncurses based MPD client inspired by ncmpc
neovim, Fork of Vim aiming to improve user experience  plugins  and GUIs
net-tools, Configuration tools for Linux networking
network-manager-applet, Applet for managing network connections
networkmanager, Network connection manager and user applications
nfs-utils, Support programs for Network File Systems
nitrogen, Background browser and setter for X windows
nodejs, Evented I/O for V8 javascript
noto-fonts, Google Noto TTF fonts
noto-fonts-cjk, Google Noto CJK fonts
noto-fonts-emoji, Google Noto emoji fonts
noto-fonts-extra, Google Noto TTF fonts - additional variants
npm, JavaScript package manager
nsxiv, Neo (or New or Not) Simple (or Small or Suckless) X Image Viewer
okteta, KDE hex editor for viewing and editing the raw data of files
os-prober, Utility to detect other OSes on a set of drives
otf-font-awesome, Iconic font designed for Bootstrap
otf-libertinus, Fonts based on Linux Libertine/Biolinum  with extended math support
pacman-contrib, Contributed scripts and tools for pacman systems
pamixer, Pulseaudio command-line mixer like amixer
paru-debug, Detached debugging symbols for paru
paru-git, Feature packed AUR helper
paru-git-debug, Detached debugging symbols for paru-git
pass-otp, A pass extension for managing one-time-password (OTP) tokens.
pavucontrol, PulseAudio Volume Control
pcmanfm, Extremely fast and lightweight file manager
pdftk, Command-line tool for working with PDFs
perl-image-exiftool, Reader and rewriter of EXIF information that supports raw files
php, A general-purpose scripting language that is especially suited to web development
picard, Official MusicBrainz tagger
picom-arian8j2-git, Arian8j2's picom fork with configurable transitions
piper, GTK application to configure gaming mice
pipewire, Low-latency audio/video router and processor
pipewire-pulse, Low-latency audio/video router and processor - PulseAudio replacement
pkgstats, Submit a list of installed packages to the Arch Linux project
plattenalbum, Connect to your music
playerctl, mpris media player controller and lib for spotify  vlc  audacious  bmp  xmms2  and others.
playerctld-systemd-unit, A systemd user unit for playerctld
playonlinux4-git, GUI for managing Windows programs under linux
python-pynvim, Python client for Neovim
python-sphinx_rtd_theme, Read the Docs theme for Sphinx
qbittorrent, An advanced BitTorrent client programmed in C++  based on Qt toolkit and libtorrent-rasterbar
r, Language and environment for statistical computing and graphics
rate-mirrors-bin, Everyday-use client-side map-aware mirror ranking tool - pre-built with musl
rofi, A window switcher  application launcher and dmenu replacement
rofi-pass, bash script to handle pass storages in a convenient way
rsync, A fast and versatile file copying tool for remote and local files
ruby, An object-oriented language for quick and easy programming
rustdesk-bin, Yet another remote desktop software  written in Rust. Works out of the box  no configuration required.
screenkey, A screencast tool to display your keys inspired by Screenflick
scrot, Simple command-line screenshot utility for X
selectdefaultapplication-git, A very simple application that lets you define default applications on Linux in a sane way
simple-mtpfs, A FUSE filesystem that supports reading/writing from MTP devices
sshfs, FUSE client based on the SSH File Transfer Protocol
sshpass, Fool ssh into accepting an interactive password non-interactively
subversion, A Modern Concurrent Version Control System
sxiv, Simple X Image Viewer
system-config-printer, A CUPS printer configuration tool and status applet
tcsh, Enhanced version of the Berkeley C shell
telegram-desktop, Official Telegram Desktop client
texlive-basic, TeX Live - Essential programs and files
texlive-bibtexextra, TeX Live - BibTeX additional styles
texlive-binextra, TeX Live - TeX auxiliary programs
texlive-context, TeX Live - ConTeXt and packages
texlive-fontsextra, TeX Live - Additional fonts
texlive-fontsrecommended, TeX Live - Recommended fonts
texlive-fontutils, TeX Live - Graphics and font utilities
texlive-formatsextra, TeX Live - Additional formats
texlive-games, TeX Live - Games typesetting
texlive-humanities, TeX Live - Humanities packages
texlive-latex, TeX Live - LaTeX fundamental packages
texlive-latexextra, TeX Live - LaTeX additional packages
texlive-latexrecommended, TeX Live - LaTeX recommended packages
texlive-luatex, TeX Live - LuaTeX packages
texlive-mathscience, TeX Live - Mathematics  natural sciences  computer science packages
texlive-metapost, TeX Live - MetaPost and Metafont packages
texlive-music, TeX Live - Music packages
texlive-pictures, TeX Live - Graphics  pictures  diagrams
texlive-plaingeneric, TeX Live - Plain (La)TeX packages
texlive-pstricks, TeX Live - PSTricks
texlive-publishers, TeX Live - Publisher styles  theses  etc.
texlive-xetex, TeX Live - XeTeX and packages
thunderbird, Standalone mail and news reader from mozilla.org
tmux, Terminal multiplexer
topcat, Tool for OPerations on Catalogues And Tables
tree, A directory listing program displaying a depth indented list of files
ttf-dejavu, Font family based on the Bitstream Vera Fonts with a wider range of characters
ttf-font-awesome, Iconic font designed for Bootstrap
ttf-hack, A hand groomed and optically balanced typeface based on Bitstream Vera Mono.
ueberzug, Command line util which allows to display images in combination with X11
unclutter, A small program for hiding the mouse cursor
unzip, For extracting and viewing files in .zip archives
ventoy-bin, A new bootable USB solution
vim, Vi Improved  a highly configurable  improved version of the vi text editor
wget, Network utility to retrieve files from the Web
whitesur-cursor-theme-git, WhiteSur cursors theme for linux desktops
whitesur-gtk-theme, A macOS BigSur-like theme for your GTK apps
whitesur-icon-theme, MacOS Big Sur like icon theme for linux desktops
wireplumber, Session / policy manager implementation for PipeWire
xclickroot-git, Click on root window and run a command
xclip, Command line interface to the X11 clipboard
xcompmgr, Composite window effect manager for X.org
xdotool, Command-line X11 automation tool
xf86-video-vesa, X.org vesa video driver
xfce4-power-manager, Power Manager for Xfce
xfce4-settings, Xfce's Configuration System
xfce4-taskmanager, Easy to use task manager
xfce4-terminal, A modern terminal emulator primarily for the Xfce desktop environment
xorg-bdftopcf, Convert X font from Bitmap Distribution Format to Portable Compiled Format
xorg-docs, X.org documentations
xorg-font-util, X.Org font utilities
xorg-fonts-100dpi, X.org 100dpi fonts
xorg-fonts-75dpi, X.org 75dpi fonts
xorg-fonts-encodings, X.org font encoding files
xorg-iceauth, ICE authority file utility
xorg-mkfontscale, Create an index of scalable font files for X
xorg-server, Xorg X server
xorg-server-common, Xorg server common files
xorg-server-devel, Development files for the X.Org X server
xorg-server-xephyr, A nested X server that runs as an X application
xorg-server-xnest, A nested X server that runs as an X application
xorg-server-xvfb, Virtual framebuffer X server
xorg-sessreg, Register X sessions in system utmp/utmpx databases
xorg-setxkbmap, Set the keyboard using the X Keyboard Extension
xorg-smproxy, Allows X applications that do not support X11R6 session management to participate in an X11R6 session
xorg-x11perf, Simple X server performance benchmarker
xorg-xauth, X.Org authorization settings program
xorg-xbacklight, RandR-based backlight control application
xorg-xcmsdb, Device Color Characterization utility for X Color Management System
xorg-xcursorgen, Create an X cursor file from PNG images
xorg-xdpyinfo, Display information utility for X
xorg-xdriinfo, Query configuration information of DRI drivers
xorg-xev, Print contents of X events
xorg-xgamma, Alter a monitor's gamma correction
xorg-xhost, Server access control program for X
xorg-xinit, X.Org initialisation program
xorg-xinput, Small commandline tool to configure devices
xorg-xkbcomp, X Keyboard description compiler
xorg-xkbevd, XKB event daemon
xorg-xkbutils, XKB utility demos
xorg-xkill, Kill a client by its X resource
xorg-xlsatoms, List interned atoms defined on server
xorg-xlsclients, List client applications running on a display
xorg-xmodmap, Utility for modifying keymaps and button mappings
xorg-xpr, Print an X window dump from xwd
xorg-xprop, Property displayer for X
xorg-xrandr, Primitive command line interface to RandR extension
xorg-xrdb, X server resource database utility
xorg-xrefresh, Refresh all or part of an X screen
xorg-xset, User preference utility for X
xorg-xsetroot, Classic X utility to set your root window background to a given pattern or color
xorg-xvinfo, Prints out the capabilities of any video adaptors associated with the display that are accessible through the X-Video extension
xorg-xwayland, run X clients under wayland
xorg-xwd, X Window System image dumping utility
xorg-xwininfo, Command-line utility to print information about windows on an X server
xorg-xwud, X Window System image undumping utility
xss-lock, Use external locker as X screen saver
yadm, Yet Another Dotfiles Manager
yarn, Fast  reliable  and secure dependency management
yt-dlp, A youtube-dl fork with additional features and fixes
zathura, Minimalistic document viewer
zathura-pdf-mupdf, PDF support for Zathura (MuPDF backend) (Supports PDF  ePub  and OpenXPS)
zip, Compressor/archiver for creating and modifying zipfiles
zoom, Video Conferencing and Web Conferencing Service
zotero-bin, Zotero Standalone. Is a free  easy-to-use tool to help you collect  organize  cite  and share your research sources.
zsh, A very advanced and programmable command interpreter (shell) for UNIX
zsh-autosuggestions, Fish-like autosuggestions for zsh
zsh-fast-syntax-highlighting, Optimized and extended zsh-syntax-highlighting
zsh-history-substring-search, ZSH port of Fish history search (up arrow)
zsh-you-should-use, ZSH plugin that reminds you to use existing aliases for commands you just typed
